filename|commit_id|MI|LOC|LLOC|SLOC|multi|blank|single_comments|halstead_volume|cyclomatic_complexity
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/flavorextradata.py|nova-fffcaea176b785c9715a180f6a629708db16536c|74.171029397|56|58|78|5|23|17|59.2070354903|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/flavorextraspecs.py|nova-fffcaea176b785c9715a180f6a629708db16536c|63.1967652591|91|90|112|0|25|21|73.5743311425|9
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/flavormanage.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|59|56|77|6|20|12|0|3
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/floating_ip_dns.py|nova-fffcaea176b785c9715a180f6a629708db16536c|48.90469898|217|205|249|5|65|27|129.657842847|23
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/floating_ip_pools.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|54|49|71|0|24|17|0|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/floating_ips.py|nova-fffcaea176b785c9715a180f6a629708db16536c|47.4542607574|221|214|259|0|62|38|206.820158894|35
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/floating_ips_bulk.py|nova-fffcaea176b785c9715a180f6a629708db16536c|60.9768747948|111|110|136|5|37|20|73.5743311425|17
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/fping.py|nova-fffcaea176b785c9715a180f6a629708db16536c|56.5312548476|122|104|139|0|21|17|181.554952038|19
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/hide_server_addresses.py|nova-fffcaea176b785c9715a180f6a629708db16536c|72.5810896864|53|45|70|0|19|17|89.9241825075|12
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/hosts.py|nova-fffcaea176b785c9715a180f6a629708db16536c|49.9469687024|238|225|308|47|44|23|481.145318183|29
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/hypervisors.py|nova-fffcaea176b785c9715a180f6a629708db16536c|51.1656117179|200|176|219|0|46|19|74.2309213166|17
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/instance_usage_audit_log.py|nova-fffcaea176b785c9715a180f6a629708db16536c|67.4939829774|90|70|120|12|17|18|173.064777194|11
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/keypairs.py|nova-fffcaea176b785c9715a180f6a629708db16536c|63.1271469483|129|129|165|15|44|21|55.5065957721|13
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/multinic.py|nova-fffcaea176b785c9715a180f6a629708db16536c|75.4710995661|55|58|77|0|20|22|27.0|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/multiple_create.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|7|7|22|0|5|15|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/networks_associate.py|nova-fffcaea176b785c9715a180f6a629708db16536c|57.5248698949|51|50|53|0|14|2|4.75488750216|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/os_networks.py|nova-fffcaea176b785c9715a180f6a629708db16536c|56.6422739386|121|110|141|0|29|20|221.953341252|19
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/os_tenant_networks.py|nova-fffcaea176b785c9715a180f6a629708db16536c|52.0753292394|160|139|178|0|36|18|122.136172814|30
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/quota_classes.py|nova-fffcaea176b785c9715a180f6a629708db16536c|77.8903216073|62|60|78|0|24|16|4.75488750216|8
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/quotas.py|nova-fffcaea176b785c9715a180f6a629708db16536c|70.7633329707|77|79|95|0|29|18|15.5097750043|11
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/rescue.py|nova-fffcaea176b785c9715a180f6a629708db16536c|73.4939927373|61|63|78|0|16|17|15.5097750043|6
