committer_id|bin_2months|num_files|total_code_added|total_code_change|total_code_del|sum_net_contr|avg_net_contr|mean_neighbr_files|mean_neighbr_code_add|mean_neighbr_code_change|mean_neighbr_code_del|mean_neighbr_avg_avg_netcontr|mean_neighbr_avg_sum_netcontr
161|5|279|3908|12360|13757|9389.5|130.409722222|280.5|2247.5|3692.0|1806.0|70.6584158416|5036.5
161|4|285|1635|7039|1867|7740.5|109.021126761|493.0|6305.0|10604.0|4110.5|139.71969697|14853.75
161|3|473|3691|12657|12308|10194.0|124.317073171|374.0|6234.5|7041.25|2528.0|180.494123932|12011.75
161|2|274|5014|11509|16315|8365.5|181.858695652|217.0|5671.5|8031.0|11338.0|244.479166667|8033.5
22|3|318|3396|10128|817|13115.5|397.439393939|287.0|1644.0|6603.0|291.0|368.25|8101.5
28|14|12|2|37|99|-10.5|-10.5|51.0|9.0|236.0|302.0|15.6666666667|94.0
234|9|4|6|19|62|-6.0|-1.5|214.0|133.0|383.5|1979.5|-13.3359375|-473.25
28|10|22|169|228|43|375.5|62.5833333333|955.0|8460.0|5360.0|2642.0|127.590086868|12499.0
28|11|37|676|266|184|850.0|94.4444444444|752.5|16624.0|4266.5|3111.0|134.602764423|19335.0
28|12|16|279|142|168|337.0|84.25|111.0|1037.0|813.0|935.0|57.6041666667|1382.5
161|8|36|14|402|116|358.0|29.8333333333|51.0|117.5|570.0|174.5|13.4568965517|600.25
29|13|1405|3631|10370|10066|8968.0|41.711627907|152.6|365.4|2013.0|685.0|50.704367086|2035.9
29|12|653|3592|6393|1328|9321.0|51.4972375691|115.4|728.4|1565.2|1219.6|56.9937056738|1683.8
29|11|24|340|108|92|402.0|50.25|121.0|874.0|1793.0|56.0|50.75|2639.0
5|9|26|17|186|281|62.5|5.20833333333|385.0|6200.0|6041.0|3099.0|87.3510377466|10691.5
29|16|7854|8494|5388|9757|9003.5|125.048611111|1388.66666667|1361.16666667|1195.16666667|1565.5|84.0577651515|1773.58333333
29|15|201|539|3447|620|3676.0|56.5538461538|10.0|14.0|614.0|12.0|69.1111111111|622.0
29|14|291|1298|1575|1015|2365.5|30.3269230769|83.75|214.75|878.75|317.0|20.3343081551|935.0
383|8|70|26|196|158|143.0|8.41176470588|70.0|278.0|1069.5|136.0|95.5957854406|1279.5
564|3|54|1720|4378|11402|397.0|9.45238095238|125.0|4658.0|6559.5|14878.5|73.9028756957|3778.25
788|6|36|41|297|58|309.0|19.3125|1477.0|9235.0|13363.0|5316.0|114.597701149|19940.0
788|5|24|50|160|3|208.5|26.0625|22.0|19.0|735.0|21.0|57.1923076923|743.5
171|12|2|3|59|0|62.0|62.0|23.0|50.5|404.0|147.5|52.3375|380.75
788|3|107|87|1459|7|1542.5|55.0892857143|670.0|13218.0|13965.0|9753.0|142.990384615|22306.5
171|10|4|45|51|1|95.5|31.8333333333|2.0|41.0|3.0|0.0|44.0|44.0
696|6|4|4|48|0|52.0|26.0|1477.0|9235.0|13363.0|5316.0|114.597701149|19940.0
357|15|7|5|44|2|48.0|24.0|11.0|36.0|89.0|2.0|31.0|124.0
357|11|2|1|196|102|146.0|146.0|42.0|28.0|3274.0|3455.0|92.6176470588|1574.5
357|12|13|5|311|385|123.5|123.5|264.666666667|617.666666667|6103.66666667|5063.33333333|68.0280432596|4189.66666667
357|13|14|189|1134|917|864.5|123.5|124.75|500.75|1958.75|1396.25|86.1033296131|1761.375
780|10|4|4|10|8|10.0|3.33333333333|1079.0|6304.0|31459.0|243.0|132.540492958|37641.5
47|15|32|73|253|501|75.5|18.875|12.0|29.5|242.0|54.0|40.625|244.5
454|9|18|0|933|0|933.0|155.5|15.0|0.0|997.0|0.0|199.4|997.0
198|15|491|7915|2894|1245|10186.5|188.638888889|33.0|12.0|325.0|66.0|30.4|304.0
965|6|42|3997|690|69|4652.5|775.416666667|31.0|1223.5|362.0|16.0|697.277777778|1577.5
1|10|216|814|1455|174|2182.0|114.842105263|38.0|172.0|932.0|292.0|47.9|958.0
1|11|690|3460|6668|3456|8400.0|115.068493151|33.5|400.5|403.0|69.5|76.875|768.75
44|10|65|382|802|68|1150.0|54.7619047619|105.25|609.5|2019.0|389.75|102.071170343|2433.625
1|13|882|4630|9557|5854|11260.0|68.2424242424|306.5|2276.66666667|3579.0|1500.5|61.4849049324|5105.41666667
1|14|161|4205|2349|1318|5895.0|155.131578947|229.0|4381.0|3482.0|1920.0|115.934714795|6903.0
1|15|599|10869|9121|5021|17479.5|108.568322981|27.0|616.0|273.0|3.0|88.75|887.5
1|16|542|3448|5399|4022|6836.0|58.9310344828|97.2857142857|794.285714286|1214.57142857|517.857142857|52.2848607367|1749.92857143
793|13|17|10|151|5|158.5|31.7|29.0|334.0|445.0|25.0|109.5|766.5
64|14|421|8363|6788|3729|13286.5|201.310606061|161.0|4205.0|2349.0|1318.0|155.131578947|5895.0
64|15|82|461|2278|1138|2170.0|98.6363636364|1502.0|44657.0|44948.0|80396.0|152.490740741|49407.0
64|16|49|257|1650|108|1853.0|102.944444444|1274.0|191.0|619.0|587.0|28.6944444444|516.5
64|10|793|17842|20140|20435|27764.5|165.264880952|485.2|3328.2|10379.8|1195.2|96.2246290648|13110.4
157|10|80|917|2481|21|3387.5|125.462962963|96.0|587.5|591.5|358.5|35.9128959276|999.75
64|12|1162|15610|21575|31335|21517.5|69.6359223301|162.0|773.2|3161.4|1506.4|93.6268122546|3181.4
558|15|424|309|372|681|340.5|26.1923076923|375.0|1859.5|3824.0|888.5|76.058988764|5239.25
157|11|20|312|582|0|894.0|149.0|38.0|331.0|146.0|21.0|116.625|466.5
975|9|41|8|94|195|4.5|1.125|575.5|121.5|1715.0|2764.0|18.21875|454.5
1041|10|11|19|73|0|92.0|23.0|12.0|21.0|76.0|0.0|24.25|97.0
