committer_id|binnumber_2months|num_files|total_code_added|total_code_change|total_code_del|sum_net_contr|avg_net_contr|mean_neighbr_files|mean_neighbr_code_add|mean_neighbr_code_change|mean_neighbr_code_del|mean_neighbr_avg_avg_netcontr|mean_neighbr_avg_sum_netcontr|num_of_blueprints_per_bin|num_of_bugs_per_bin|dummy_bug_o_blueprint
68|10|758|6138|11257|441|17174.5|104.0879|106|679.1667|1420.333|317.5|56.80714|1940.75|88|77|2
68|11|899|7903|24504|1708|31553|112.6893|42|28|3274|3455|92.61765|1574.5|270|10|2
68|12|585|916|11936|7106|9299|65.48592|232.5714|2484.572|4881.429|5723|72.67035|4504.5|120|22|2
68|13|60|163|1063|884|784|65.33334|68.625|531.25|3454.375|2878.625|130.5357|2546.313|2|10|2
68|14|64|124|858|205|879.5|48.86111|158|799|1779|822|42.4902|2167|6|12|2
68|15|132|76|2189|30|2250|72.58064|78|124|390|220|28.85714|404|26|5|2
68|16|19|9|261|3|268.5|38.35714|147|217|935|682|24.57576|811|7|0|0
70|8|||||||||||||4|0|0
70|9|||||||||||||25|0|0
70|10|||||||||||||67|0|0
70|11|||||||||||||49|5|2
70|12|||||||||||||0|4|1
70|13|||||||||||||0|6|1
70|14|||||||||||||7|0|0
70|15|141|155|1330|207|1381.5|41.86364|60.5|26.5|394|123|26.09474|359|14|19|2
70|16|208|567|1547|1481|1373.5|21.13077|120|542|868|1142|15.83019|839|55|10|2
71|13|||||||||||||0|3|1
71|16|||||||||||||0|5|1
72|9|||||||||||||0|9|1
72|11|||||||||||||0|3|1
72|12|||||||||||||4|0|0
72|13|44|119|1101|0|1220|71.76471|96|489|2253|1545|93.78571|1969.5|5|12|2
72|15|24|36|1508|443|1322.5|330.625|39|85.5|1852|495.5|141.1827|1689.75|4|0|0
72|16|120|542|868|1142|839|15.83019|208|567|1547|1481|21.13077|1373.5|53|0|0
74|6|19|26|185|0|211|23.44444|1477|9235|13363|5316|114.5977|19940|0|9|1
75|14|||||||||||||0|2|1
75|15|||||||||||||0|3|1
75|16|||||||||||||0|2|1
76|13|||||||||||||0|3|1
76|14|18|21|255|0|276|34.5|158|799|1779|822|42.4902|2167|0|8|1
76|15|||||||||||||0|4|1
77|14|18|4|205|291|63.5|5.772727|45|20|123|118|12|84|0|11|1
77|15|||||||||||||0|34|1
77|16|79|59|951|1006|507|13.7027|2|0|10|1|9.5|9.5|0|37|1
78|15|4|0|23|0|23|23|32|73|253|501|18.875|75.5|||
79|15|19|113|130|66|210|35|280|1122|5490|448|74.27907|6388|6|0|0
80|13|5|0|83|1|82.5|82.5|51|48|428|45|34.88462|453.5|||
82|5|||||||||||||0|6|1
82|6|||||||||||||0|3|1
83|10|||||||||||||0|8|1
83|11|||||||||||||0|8|1
85|3|66|181|1369|0|1550|70.45454|424|3013|8521|1050|129.5177|11009|0|22|1
85|4|100|445|1236|58|1652|47.2|438.3333|4410|8148.667|2049.333|78.47124|11534|0|35|1
85|5|||||||||||||0|15|1
85|6|||||||||||||0|4|1
85|7|132|249|1384|1283|991.5|26.09211|586.25|9156.25|10219|2975.75|101.4503|17887.38|14|24|2
85|8|782|5374|17916|11467|17556.5|93.88503|231.2|1642.2|5672.2|3669.8|173.8502|5479.5|187|0|0
86|2|||||||||||||0|11|1
86|3|9|38|143|0|181|90.5|268|892|3091|159|125.9194|3903.5|0|2|1
87|3|12|0|221|14|214|23.77778|571.5|8454.5|13311|11030.5|133.6537|16250.25|0|9|1
87|4|||||||||||||0|9|1
87|5|123|305|1556|34|1844|59.48387|39|1148|164|4|218.3333|1310|26|5|2
87|6|||||||||||||5|3|2
87|8|||||||||||||0|7|1
87|9|||||||||||||0|2|1
87|10|||||||||||||0|2|1
87|16|9|15|115|0|130|26|147|217|935|682|24.57576|811|0|5|1
89|9|1|0|0|1|-.5|-.5|232|4041|4945|1376|106.3846|8298|||
91|16|||||||||||||0|3|1
92|6|2|0|39|2|38|38|1584|18817|13363|8803|112.9207|27778.5|||
92|9|347|2986|10550|8990|9041|114.443|247.25|1904.75|5522.75|4661.25|79.46147|5096.875|69|10|2
92|10|93|2391|3117|1361|4827.5|166.4655|324|2899.5|5795.5|5853|121.5006|5768.5|22|7|2
92|11|7|73|248|0|321|160.5|90.33334|704.6667|2694|503.3333|233.069|3147|0|2|1
92|12|||||||||||||0|10|1
92|13|26|229|437|2|665|66.5|9|23|63|2|47|85|0|10|1
92|14|12|189|253|14|435|87|81|399.5|955.5|413|53.7451|1148.5|0|5|1
92|15|||||||||||||0|6|1
93|2|243|3401|6584|55|9957.5|276.5972|300|1299|6010|1089|150.3222|6764.5|35|0|0
93|3|1345|19842|21110|5726|38089|260.8836|111.3333|2064.667|1884.667|1151|142.4242|3373.833|129|17|2
93|4|732|6679|18734|5780|22523|258.8851|1601.25|9579.75|16410.75|26044.75|89.70719|12968.13|60|27|2
93|5|||||||||||||29|0|0
93|6|1584|18817|13363|8803|27778.5|112.9207|24|154|562|822.5|36.85938|304.75|238|8|2
93|7|952|5145|9172|6655|10989.5|54.13547|340.8|3246.8|3577.6|1082|219.5422|6283.4|165|38|2
93|8|||||||||||||7|0|0
93|9|402|1949|5684|622|7322|90.39507|786|10823.5|17023|10955.5|141.0265|22368.75|75|6|2
93|10|1079|6304|31459|243|37641.5|132.5405|548.7143|6294.857|7416.429|4891.714|92.77058|11265.43|267|17|2
93|11|112|193|4448|160|4561|116.9487|72.5|433.5|659|1009.5|128.09|587.75|35|4|2
93|12|211|804|5476|254|6153|109.875|585|916|11936|7106|65.48592|9299|51|5|2
93|13|48|414|629|607|739.5|67.22727|88.83334|825.1667|1860|925|170.4787|2222.667|2|9|2
93|14|183|593|2278|1732|2005|33.41667|95.5|1827|910|436.5|131.6489|2518.75|0|60|1
93|15|338|2101|3409|497|5261.5|49.1729|151.25|751|2849.25|4235.25|81.70026|1482.625|39|68|2
93|16|405|3197|6584|268|9647|103.7312|92.33334|215.3333|742|264.6667|61.10859|825|66|27|2
94|10|||||||||||||0|4|1
94|11|||||||||||||0|8|1
94|12|37|26|1283|57|1280.5|91.46429|41|48|1024|119|84.375|1012.5|0|14|1
94|16|||||||||||||6|3|2
95|12|||||||||||||0|6|1
96|15|||||||||||||0|5|1
96|16|228|930|4014|376|4756|190.24|14|66|228|5|291.5|291.5|0|25|1
98|5|||||||||||||0|3|1
98|7|52|177|815|127|928.5|46.425|316.5|3364|3787.5|630.5|82.98585|6836.25|0|20|1
98|8|||||||||||||0|3|1
98|9|||||||||||||14|18|2
98|10|109|736|2374|6|3107|282.4546|93|291|1318|399|93.96667|1409.5|10|0|0
98|11|21|431|569|245|877.5|292.5|181|4150|5173|2572|365.3182|8037|2|0|0
98|12|||||||||||||0|3|1
98|13|||||||||||||0|9|1
98|14|||||||||||||0|9|1
98|15|||||||||||||0|4|1
99|12|20|968|420|18|1379|153.2222|90|516|4544|4369|119.8125|2875.5|0|9|1
99|13|489|1540|12511|3604|12249|126.2784|489|2559.5|5905|3699.5|81.01407|6614.75|91|6|2
99|14|||||||||||||0|2|1
99|15|27|616|273|3|887.5|88.75|253.25|3551.25|4065|2740.75|88.77905|6245.875|7|3|2
99|16|6630|6846|3052|6922|6437|134.1042|1902.4|1954.6|1751.8|2443.6|81.61376|2484.6|3|45|2
104|14|||||||||||||0|2|1
104|16|||||||||||||0|2|1
105|10|||||||||||||0|2|1
