feature_id_id|bin_2months|committer_id|committer_neighbor_id|count
2246|12|1|56|23
6120|6|186|49|14
6120|6|234|49|5
6120|6|234|186|70
6120|5|234|186|8
1479|14|339|177|5
6856|4|161|720|25
5115|7|720|1114|5
122|16|6|133|1
5156|7|161|720|2
541|16|30|304|3
8290|3|344|1442|2
5592|7|31|335|60
1034|15|30|16|3
5115|8|720|1114|5
5592|3|31|1344|10
1576|14|55|56|2
3676|10|6|595|12
7239|3|644|93|32
5106|8|596|720|6
613|16|36|29|1
6509|5|234|49|8
2966|10|31|92|4
3661|10|1042|1041|16
1638|13|1|195|45
6110|6|449|720|4
5417|7|31|720|2
717|15|109|462|2
3938|9|449|92|5
3938|9|449|109|25
3938|9|109|92|5
2658|12|64|68|9
6584|5|1205|720|18
88|16|72|70|228
5265|7|135|720|6
7146|4|31|85|32
5709|6|1219|720|3
6421|5|456|720|3
8021|3|161|720|15
7146|3|31|85|154
2665|11|30|161|2
4300|9|438|5|4
2665|12|30|7|3
39|16|120|121|32
3877|10|191|405|3
6118|6|186|49|13
6118|6|234|49|6
6118|6|234|186|78
6998|4|356|720|4
4060|10|68|1116|2
6118|5|234|186|18
3832|10|553|626|15
5762|6|1219|720|4
5609|7|131|720|6
2934|11|98|835|9
5640|7|211|51|12
5640|7|279|211|4
5640|7|279|51|3
1573|14|55|56|2
4680|3|663|57|24
4680|3|663|720|4
4680|3|57|720|24
6639|5|1205|720|8
5621|5|161|720|4
5621|5|30|161|4
5621|5|30|720|1
5621|6|161|720|6
5621|7|161|720|4
53|16|30|155|2
5927|6|975|49|1
5927|6|975|965|4
5927|6|965|49|4
4822|7|1191|720|12
8422|2|1635|49|9
4399|9|254|115|5
8015|3|344|1442|5
523|16|30|6|3
719|15|186|72|4
719|15|186|50|8
719|15|72|50|32
5578|7|93|1171|16
3846|9|335|429|24
7870|3|344|1442|12
8024|3|403|720|9
1673|5|519|720|12
5628|7|93|1171|26
6425|5|217|720|1
1682|13|239|10|4
3263|11|462|307|1
8029|3|344|1442|6
7035|4|85|450|54
7035|4|31|450|27
7035|4|31|85|18
3625|10|44|40|2
5924|6|1259|720|4
1553|14|358|483|2
5453|6|720|1114|18
4007|10|335|16|6
4007|10|93|16|36
4007|10|335|93|24
3641|9|254|115|4
1148|14|6|16|2
2607|12|64|68|11
6834|4|356|720|3
7430|2|161|720|40
7430|2|30|161|32
7430|2|30|720|20
7430|3|161|720|190
7430|3|420|720|10
7430|3|161|420|19
979|15|198|5|6
3452|10|31|201|2
7874|3|344|1442|48
7430|4|161|720|2
398|16|209|386|4
6142|6|720|1364|32
740|16|30|68|1
1313|13|668|258|3
5689|6|161|720|38
5211|7|1252|31|15
4074|7|31|720|6
3113|11|28|761|7
7312|2|1400|720|4
945|14|239|29|8
7388|4|344|1442|23
1715|13|30|51|3
7695|3|161|720|1
282|16|6|45|4
7511|4|6|1537|1
6204|6|161|720|4
7251|4|344|1442|15
7547|3|788|720|8
5427|7|1268|1316|4
5991|6|31|720|5
7428|4|663|57|54
3072|10|109|31|36
4507|8|36|1024|21
1028|15|599|136|3
4507|9|93|1024|14
4002|8|596|313|4
5902|6|1396|720|5
4343|9|1157|563|2
2091|13|390|626|2
7917|3|6|1332|12
3189|10|98|835|7
3846|10|16|429|210
1178|14|239|29|4
5294|6|1191|1221|24
2643|12|28|390|2
2673|12|449|66|20
7377|4|344|1010|15
5562|6|1177|869|28
5562|7|1177|1334|11
7498|3|626|1168|11
1473|13|68|287|1
270|16|6|304|1
5375|7|6|383|3
2445|12|456|61|2
2445|12|456|68|1
2445|12|61|68|2
5818|6|1386|1385|6
3721|10|157|49|14
3856|10|335|16|6
3856|10|93|64|20
3856|10|335|64|2
3856|10|93|16|60
3856|10|16|64|3
3856|10|335|93|40
2366|12|626|5|4
2366|11|626|761|1
8523|2|344|1442|18
1633|13|49|479|3
5571|7|31|720|33
1841|13|99|56|2
2389|11|520|595|8
5857|5|495|1391|3
4006|10|335|16|6
4006|10|93|16|39
4006|10|335|93|26
5419|7|161|720|1
1602|14|55|56|1
3061|11|279|848|2
2660|12|64|68|9
5704|7|6|1171|2
7420|3|663|57|49
7565|4|344|1442|4
1642|13|93|68|1
1642|13|93|64|4
1642|13|107|68|1
1642|13|107|93|1
1642|13|64|68|4
1642|13|107|64|4
7420|4|663|57|40
7420|4|663|720|16
7420|4|57|720|10
7864|3|975|720|6
7864|3|975|186|6
7864|3|186|720|1
1590|13|66|155|1
2584|12|64|68|13
2566|12|279|761|12
1221|13|239|29|12
7470|4|107|1488|13
7745|3|595|720|2
5411|7|147|1312|1
3871|9|975|362|24
3871|9|246|975|1
3871|9|246|362|24
2661|12|64|68|9
983|15|30|16|8
6055|6|720|1364|33
8120|3|720|479|14
6536|5|161|720|6
8005|3|595|720|4
3869|9|31|450|4
1180|8|645|644|1
2645|12|93|68|14
4239|10|449|31|1
111|13|201|200|2
1253|15|654|655|2
2593|12|64|68|13
7235|4|31|451|70
3841|10|31|450|6
3830|7|147|720|14
1900|13|1|16|6
2523|12|93|68|14
3830|8|147|720|2
7097|4|31|720|3
5008|8|31|85|252
5008|8|449|85|396
5008|8|449|31|77
682|13|30|45|8
631|16|99|29|14
4032|10|595|761|4
7402|4|344|1442|44
4750|9|64|5|2
7498|4|626|1168|1
5548|6|31|720|88
5548|7|31|720|36
1793|12|745|264|2
1793|12|745|305|4
1793|12|264|305|2
1793|13|745|92|4
7152|3|753|720|2
3066|11|36|761|8
5760|6|1219|720|3
7296|3|161|720|27
7296|3|195|720|3
7296|3|195|161|9
2150|12|383|251|2
2019|13|36|793|5
5080|8|596|720|4
4741|9|779|895|6
7406|4|6|1467|6
1912|8|773|772|4
6282|5|458|720|8
5036|8|1258|186|4
4268|9|449|66|8
3544|10|1014|1013|1
7860|3|1471|1459|4
7860|3|1471|1361|2
7860|3|1459|1361|8
5179|8|645|644|1
5929|6|720|1364|8
427|16|36|157|6
4919|8|344|16|17
1905|13|520|545|3
1905|13|29|545|3
1905|13|520|29|1
7692|3|344|1442|285
7296|4|161|720|6
7154|4|34|305|16
2988|11|93|56|7
1798|13|357|211|4
1798|13|357|56|2
1798|13|211|56|2
3072|6|31|356|7
3072|6|356|720|1
3072|6|31|720|7
2540|12|449|66|56
2623|12|45|40|16
4758|8|344|16|18
2567|12|809|5|2
2843|12|198|895|2
1205|14|520|545|3
1205|14|239|545|3
1205|14|520|239|1
3826|10|335|16|12
3826|10|93|64|23
3826|10|335|64|2
3826|10|93|16|138
3826|10|16|64|6
3826|10|335|93|46
7523|3|1467|846|6
6829|4|1120|720|14
8431|2|344|93|18
